key,name,name_kana,members
mirai_and_emo,みらい&えも,,
miracle_kiratts,Miracle☆Kiratts,みらくるきらっつ,momoyama_mirai & moegi_emo & aoba_rinka
meltic_star,Meltic StAr,めるてぃっくすたー,akagi_anna & midorikawa_sara & shidou_meru
ring_marry,Ring Marry,りんぐまりぃ,kurokawa_suzu & kanamori_maria
il_ange,iL'ange,あいらんじゅ,shiratori_anju & nanahoshi_aira
