key,predicate,dataType,objectUriPrefix,inversePredicate
series,series,,,
prefecture,prefecture,,,
name,name,,,
address,address,,,
latitude,latitude,http://www.w3.org/2001/XMLSchema#decimal,,
longitude,longitude,http://www.w3.org/2001/XMLSchema#decimal,,
