prefecture,name,address
神奈川県,ノジマ　ららぽーと海老名店,神奈川県海老名市中央2丁目4-1
神奈川県,プレイランドダイエー海老名,神奈川県海老名市中央３－２－５ダイエー海老名３階
神奈川県,ＡＭＰＩＡ大船,神奈川県鎌倉市大船１－２４大船駅前ビル１Ｆ～３Ｆ
神奈川県,ジャンボリー大船,神奈川県鎌倉市大船６－１－１
神奈川県,イトーヨーカドー大船,神奈川県鎌倉市大船６－１－１玩具売場
神奈川県,モーリーファンタジー茅ヶ崎,神奈川県茅ヶ崎市茅ヶ崎２－７－７１　イオン２Ｆ
神奈川県,イオン茅ヶ崎,神奈川県茅ヶ崎市茅ヶ崎２－７－７１玩具売場
神奈川県,イオン茅ヶ崎中央,神奈川県茅ヶ崎市茅ヶ崎３－５－１６玩具売場
神奈川県,モーリーファンタジー茅ヶ崎中央,神奈川県茅ヶ崎市茅ケ崎３丁目５番１６号イオン３Ｆ
神奈川県,神奈川レジャーランド厚木,神奈川県厚木市戸室５丁目３１－１
神奈川県,イオン厚木,神奈川県厚木市中町１－５－１０
神奈川県,ハローズガーデン厚木,神奈川県厚木市中町１－５－１０厚木ガーデンシティビル５Ｆ
神奈川県,モーリーファンタジー座間,神奈川県座間市広野台２－１０イオンスタイル座間店３階
神奈川県,ピアゴ座間,神奈川県座間市入谷一丁目４１６番地の２　玩具売場
神奈川県,タイトーステーション小田原シティーモールクレッセ店,神奈川県小田原市前川１２０小田原シティモールクレッセ内２Ｆ
神奈川県,小田原メトロポリス,神奈川県小田原市前川２１９－４
神奈川県,キッズトレイン小田原,神奈川県小田原市中里２０８　ダイナシティーウェスト４F
神奈川県,セガ小田原ダイナシティ,神奈川県小田原市中里２９６－１　ダイナシティイーストモール　イトーヨーカ堂３Ｆ
神奈川県,イトーヨーカドー小田原,神奈川県小田原市中里２９６－１玩具売場
神奈川県,モーリーファンタジー秦野,神奈川県秦野市入船町１２－１イオン２Ｆ
神奈川県,イオン秦野,神奈川県秦野市入船町１２－１玩具売場
神奈川県,ヤマダ電機テックランド向ヶ丘,神奈川県川崎市宮前区平2-3-10
神奈川県,ＹＡＺ川崎,神奈川県川崎市幸区小倉５－１９－２３クロスガーデン川崎１Ｆ
神奈川県,ビックカメララゾーナ川崎,神奈川県川崎市幸区堀川町７２－１　トイズコーナー
神奈川県,イトーヨーカドー溝ノ口,神奈川県川崎市高津区久本３－６－２０玩具売場
神奈川県,タイトーステーション溝の口,神奈川県川崎市高津区溝口１－１１－８ＯＫＫＡ６３４ビル
神奈川県,AMPIA川崎モアーズ,神奈川県川崎市川崎区駅前本町7番地岡田屋モアーズ1階
神奈川県,シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町8番地ダイスビル地下2階
神奈川県,アムジーＫＴなっつべりぃ,神奈川県川崎市川崎区港町１２－１　イトーヨーカドー川崎港町店２Ｆ
神奈川県,イトーヨーカドー川崎港町,神奈川県川崎市川崎区港町１２－１玩具売場
神奈川県,イトーヨーカドー川崎,神奈川県川崎市川崎区小田栄２－２－１玩具売場
神奈川県,モーリーファンタジー川崎小田栄,神奈川県川崎市川崎区小田栄２－３－１ホームセンターコーナン２階
神奈川県,プレイランド川崎,神奈川県川崎市川崎区小田栄二丁目２－１イトーヨーカドー川崎店３Ｆ
神奈川県,こころっこ川崎店,神奈川県川崎市川崎区中瀬３－２０　ホームズ川崎店内２Ｆ　プレビプレイランドコーナー　こころっこ
神奈川県,ヨドバシカメラマルチメディア川崎ルフロン,神奈川県川崎市川崎区日進町１－１１玩具売場
