key,name
i_ris,i☆Ris
prizmmy,Prizmmy☆
prism_box,Prism☆Box
laala_with_prizumu_idol_kenkyuseis,idolらぁら with プリズム☆アイドル 研究生's
super_girls,SUPER☆GiRLS
